,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,hasLift,parkingSpace
0,30773683,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d4/d6/cb/140688344.jpg,APA_588,43,5,2500.0,flat,rent,220.0,False,4,4,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,Estefânia,38.7294608,-9.138845,False,https://www.idealista.pt/imovel/30773683/,949,True,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,
1,31167169,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c9/93/67/145571881.jpg,120611194-1589,24,,1225.0,flat,rent,107.0,False,2,2,Avenida Almirante Reis s/n,Lisboa,Arroios,São Jorge de Arroios,pt,Alameda - Praça do Chile - Almirante Reis,38.7363777,-9.1338708,True,https://www.idealista.pt/imovel/31167169/,73,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso en Avenida Almirante Reis s/n'}",False,False,False,False,False,,
2,31163596,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/bc/20/4f/145502559.jpg,,14,2,1300.0,duplex,rent,110.0,False,3,3,Campo Pequeno,Lisboa,Avenidas Novas,Campo Pequeno - Nossa Senhora de Fátima,pt,,38.7407938,-9.142088,False,https://www.idealista.pt/imovel/31163596/,831,False,good,False,12.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Dúplex en Campo Pequeno'}",True,False,False,False,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
3,31093404,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/33/cb/17/142399509.jpg,122181148-184,22,,1200.0,flat,rent,105.0,False,3,2,Avenida João XXI s/n,Lisboa,Areeiro,,pt,,38.7424919,-9.1382171,True,https://www.idealista.pt/imovel/31093404/,717,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso en Avenida João XXI s/n'}",True,False,False,False,False,,
4,31090940,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d2/93/1e/142321526.jpg,120991715-73,34,,1200.0,flat,rent,68.0,False,1,1,Rua José Estêvão s/n,Lisboa,Arroios,São Jorge de Arroios,pt,Estefânia,38.7295092,-9.1376392,True,https://www.idealista.pt/imovel/31090940/,900,False,good,False,18.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso en Rua José Estêvão s/n'}",True,False,False,False,False,,
5,31054169,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/4b/10/5e/141116622.jpg,3805,20,4,875.0,flat,rent,48.0,False,1,1,Rua Barão de Sabrosa,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,,38.7367068,-9.1271708,False,https://www.idealista.pt/imovel/31054169/,576,False,good,False,18.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso en Rua Barão de Sabrosa'}",True,False,False,False,False,True,
6,31025841,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/67/df/1d/140278513.jpg,3195,16,3,725.0,flat,rent,51.0,False,1,1,Rua Passos Manuel,Lisboa,Arroios,São Jorge de Arroios,pt,Estefânia,38.7294519,-9.1350743,False,https://www.idealista.pt/imovel/31025841/,850,False,good,False,14.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso en Rua Passos Manuel'}",True,False,False,False,False,True,
7,30876426,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e2/52/6f/137108446.jpg,20087 B,13,1,1400.0,flat,rent,110.0,False,3,3,Avenida Óscar Monteiro Torres,Lisboa,Areeiro,,pt,,38.7408618,-9.140728,False,https://www.idealista.pt/imovel/30876426/,735,True,good,False,13.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso en Avenida Óscar Monteiro Torres'}",True,False,False,False,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
8,31137134,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/67/0e/f6/144307275.jpg,120611194-1544,21,1,1025.0,flat,rent,105.0,False,2,1,Rua António Pereira Carrilho,Lisboa,Arroios,São Jorge de Arroios,pt,Alameda - Praça do Chile - Almirante Reis,38.7346284,-9.1355554,False,https://www.idealista.pt/imovel/31137134/,307,True,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso en Rua António Pereira Carrilho'}",False,False,False,False,False,False,
9,31131956,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c3/02/c4/143988516.jpg,120611194-1545,20,3,1025.0,flat,rent,105.0,False,2,1,Rua António Pereira Carrilho,Lisboa,Arroios,São Jorge de Arroios,pt,Alameda - Praça do Chile - Almirante Reis,38.7322284,-9.1331554,False,https://www.idealista.pt/imovel/31131956/,537,True,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso en Rua António Pereira Carrilho'}",False,False,False,False,False,False,
10,31131697,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ce/da/7d/143977783.jpg,PM5824 (1),18,bj,1000.0,flat,rent,52.0,False,1,1,Bairro dos Actores - Barão Sabrosa,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,,38.7366281,-9.1303919,False,https://www.idealista.pt/imovel/31131697/,299,True,good,False,19.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso'}",True,False,False,False,False,True,
11,31113288,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/bf/39/cf/143238508.jpg,120611194-1528,21,2,1525.0,flat,rent,145.0,False,3,2,Praça Francisco Sá Carneiro,Lisboa,Areeiro,,pt,,38.7443147,-9.134392,False,https://www.idealista.pt/imovel/31113288/,810,True,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso en Praça Francisco Sá Carneiro'}",False,False,False,False,False,True,
12,31051269,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/52/7a/12/141036116.jpg,RB001172,30,2,2000.0,flat,rent,132.0,False,3,3,Centro,Lisboa,Penha de França,Centro,pt,,38.7316792,-9.1311427,False,https://www.idealista.pt/imovel/31051269/,638,False,good,False,15.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,
13,30973822,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/58/85/f8/140354744.jpg,W-02KWVR,26,,2500.0,flat,rent,156.0,False,3,2,Campo Pequeno - Nossa Senhora de Fátima,Lisboa,Avenidas Novas,Campo Pequeno - Nossa Senhora de Fátima,pt,,38.7390019,-9.1414719,False,https://www.idealista.pt/imovel/30973822/,700,True,good,False,16.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,
