,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,neighborhood
0,31104127,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f9/28/86/144713681.jpg,APA_131,35,1,249000.0,flat,sale,95.0,False,1,2,"Rua Barão de Sabrosa, 134  ",Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,38.7350482,-9.128707,True,https://www.idealista.pt/imovel/31104127/,494,True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2621.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso en Rua Barão de Sabrosa, 134  '}",True,False,True,False,False,,
1,30956613,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/71/be/90/141701337.jpg,4739453,22,1,785000.0,flat,sale,194.0,False,4,3,São Sebastião da Pedreira,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7339774,-9.1445827,False,https://www.idealista.pt/imovel/30956613/,995,False,good,False,True,,4046.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso'}",True,False,True,False,False,,
2,30960777,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/9e/55/5a/141717700.jpg,W-02KQVC,35,,845100.0,flat,sale,170.0,False,5,4,Areeiro,Lisboa,Areeiro,,pt,38.7382288,-9.1373477,False,https://www.idealista.pt/imovel/30960777/,334,True,good,False,True,,4971.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso'}",True,False,True,False,False,,
3,29982859,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e5/33/4c/144998994.jpg,JC14_POPSALDANHA_T0_2.5,65,2,350000.0,studio,sale,45.0,False,0,1,"Avenida João Crisóstomo, 14",Lisboa,Avenidas Novas,Campo Pequeno - Nossa Senhora de Fátima,pt,38.73642,-9.1443651,True,,918,True,newdevelopment,True,True,,7778.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'T0 en Avenida João Crisóstomo, 14'}",True,False,False,False,False,False,
4,30770727,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2c/53/4b/140101091.jpg,W-02JURT,20,3,599000.0,flat,sale,195.0,False,3,2,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,38.7301304,-9.1379188,False,https://www.idealista.pt/imovel/30770727/,846,True,good,False,,,3072.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,Estefânia
5,30726515,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2f/a1/89/139961498.jpg,W-02JR5G,27,4,560000.0,flat,sale,157.0,False,2,2,Areeiro,Lisboa,Areeiro,,pt,38.7371634,-9.1330443,False,https://www.idealista.pt/imovel/30726515/,67,True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3567.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,
6,30668736,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/57/07/97/140929569.jpg,W-02JING,27,2,299000.0,flat,sale,70.0,False,3,2,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,38.729562,-9.1396178,False,https://www.idealista.pt/imovel/30668736/,972,True,good,False,,,4271.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,Estefânia
7,30378569,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2c/a6/64/140954494.jpg,W-02IHS0,24,4,270700.0,flat,sale,61.0,False,1,1,Alameda - Praça do Chile - Almirante Reis,Lisboa,Arroios,São Jorge de Arroios,pt,38.7329356,-9.1318382,False,https://www.idealista.pt/imovel/30378569/,486,True,good,False,True,,4438.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,Alameda - Praça do Chile - Almirante Reis
8,30166405,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f2/58/60/127786549.jpg,Visc.Santarém_T3_4.1,33,4,860000.0,flat,sale,162.0,False,3,3,Avenida Visconde Santarém,Lisboa,Arroios,São Jorge de Arroios,pt,38.7336115,-9.137229,False,,483,False,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5309.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Piso en Avenida Visconde Santarém'}",True,False,False,False,False,False,Saldanha - Picoas
9,30219354,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/42/78/27/127786542.jpg,Visc.Santarém_T2_1.4,33,1,750000.0,flat,sale,147.0,False,2,3,Avenida Visconde Santarém,Lisboa,Arroios,São Jorge de Arroios,pt,38.7336115,-9.137229,False,,483,False,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5102.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Piso en Avenida Visconde Santarém'}",True,False,False,False,False,False,Saldanha - Picoas
10,29982403,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7a/15/b1/127786540.jpg,Visc.Santarém_T1_2.3,33,2,425000.0,flat,sale,74.0,False,1,1,Avenida Visconde Santarém,Lisboa,Arroios,São Jorge de Arroios,pt,38.7336115,-9.137229,False,,483,False,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5743.0,{'typology': 'flat'},"{'subtitle': 'Saldanha - Picoas, Lisboa', 'title': 'Piso en Avenida Visconde Santarém'}",True,False,False,False,False,False,Saldanha - Picoas
11,30385435,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/55/94/0c/119360425.jpg,JC14_POPSALDANHA_T1_6.6,62,6,980000.0,flat,sale,127.0,False,3,2,"Avenida João Crisóstomo, 14",Lisboa,Avenidas Novas,Campo Pequeno - Nossa Senhora de Fátima,pt,38.73642,-9.1443651,True,,918,False,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7717.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso en Avenida João Crisóstomo, 14'}",True,False,False,False,False,False,
12,30837300,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/12/8f/f7/134171490.jpg,120991338-381,25,,520000.0,flat,sale,95.0,False,2,1,Rua Morais Soares s/n,Lisboa,Arroios,São Jorge de Arroios,pt,38.7333978,-9.1332249,True,https://www.idealista.pt/imovel/30837300/,407,False,good,False,,,5474.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso en Rua Morais Soares s/n'}",False,False,False,False,False,,Alameda - Praça do Chile - Almirante Reis
13,30997624,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b9/24/db/139596141.jpg,14454,16,11,250000.0,flat,sale,64.0,False,1,1,Areeiro,Lisboa,Areeiro,,pt,38.7391687,-9.1236278,False,https://www.idealista.pt/imovel/30997624/,913,False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3906.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso'}",False,False,False,False,False,,
14,31021128,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b1/9f/0e/140121881.jpg,122181337-185,20,,250000.0,flat,sale,80.0,False,4,1,Rua Marques da Silva s/n,Lisboa,Arroios,São Jorge de Arroios,pt,38.7299478,-9.1333726,True,https://www.idealista.pt/imovel/31021128/,789,False,good,False,,,3125.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso en Rua Marques da Silva s/n'}",False,False,False,False,False,,Alameda - Praça do Chile - Almirante Reis
15,31146189,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c8/9e/34/144740707.jpg,W-02LIRR,20,4,550000.0,flat,sale,201.0,False,2,2,Alameda - Praça do Chile - Almirante Reis,Lisboa,Arroios,São Jorge de Arroios,pt,38.729737,-9.1352158,False,https://www.idealista.pt/imovel/31146189/,820,False,good,False,True,,2736.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso'}",False,False,False,False,False,,Alameda - Praça do Chile - Almirante Reis
16,30975291,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7c/e9/d6/138655366.jpg,122181284-29,20,,380000.0,flat,sale,95.0,False,4,2,Largo da Penha de França s/n,Lisboa,Penha de França,Centro,pt,38.7297009,-9.131521,True,https://www.idealista.pt/imovel/30975291/,839,False,good,False,,,4000.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso en Largo da Penha de França s/n'}",False,False,False,False,False,,
17,30920911,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c2/2a/67/145974620.jpg,C0405-00410,42,2,650000.0,flat,sale,158.0,False,5,1,Avenida Almirante Reis,Lisboa,Arroios,São Jorge de Arroios,pt,38.7333487,-9.134401,False,https://www.idealista.pt/imovel/30920911/,413,False,good,False,False,,4114.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso en Avenida Almirante Reis'}",True,False,True,False,False,,Alameda - Praça do Chile - Almirante Reis
18,30773342,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/0c/66/4f/132220196.jpg,,33,4,458000.0,flat,sale,116.0,False,4,2,Rua Carlos Mardel,Lisboa,Areeiro,,pt,38.738103,-9.1345199,False,https://www.idealista.pt/imovel/30773342/,133,True,good,False,False,,3948.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso en Rua Carlos Mardel'}",True,False,False,False,False,,
19,31138616,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/48/29/21/144535639.jpg,TAMEAPRO1828,24,1,550000.0,flat,sale,108.0,False,4,2,Anjos,Lisboa,Arroios,Anjos,pt,38.7288292,-9.1335983,False,https://www.idealista.pt/imovel/31138616/,912,True,good,False,True,,5093.0,{'typology': 'flat'},"{'subtitle': 'Arroios, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,
