,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,neighborhood,url,parkingSpace
0,29982883,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/56/cb/88/144998988.jpg,JC14_POPSALDANHA_T0_1.5,65,1,350000.0,studio,sale,45.0,False,0,1,"Avenida João Crisóstomo, 14",Lisboa,Avenidas Novas,Campo Pequeno - Nossa Senhora de Fátima,pt,38.73642,-9.1443651,True,918,True,newdevelopment,True,True,False,7778.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'T0 en Avenida João Crisóstomo, 14'}",True,False,False,False,False,,,
1,30907655,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c6/1a/6a/139743725.jpg,13070-DA-N,16,3,599000.0,flat,sale,195.0,False,3,2,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,38.7334438,-9.1392756,False,620,False,good,False,False,,3072.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso'}",True,False,True,False,False,Estefânia,https://www.idealista.pt/imovel/30907655/,
2,29057735,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a0/25/f6/85199155.jpg,PM4104,20,bj,580000.0,flat,sale,127.0,False,3,2,Bairro dos Actores - Barão Sabrosa,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,38.7346711,-9.1286301,False,520,False,good,False,True,,4567.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso'}",True,False,True,False,False,,https://www.idealista.pt/imovel/29057735/,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
3,31177405,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/0e/31/33/146224456.jpg,1204-1984,22,4,525000.0,flat,sale,115.0,False,3,2,Areeiro,Lisboa,Areeiro,,pt,38.742978,-9.141004,False,909,False,good,False,True,,4565.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,https://www.idealista.pt/imovel/31177405/,
4,30805257,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a8/da/70/133166767.jpg,VH001LX,31,1,850000.0,flat,sale,240.0,False,5,2,Avenida Afonso Costa,Lisboa,Areeiro,,pt,38.7419731,-9.1312921,False,590,False,good,False,True,,3542.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso en Avenida Afonso Costa'}",False,False,True,False,False,,https://www.idealista.pt/imovel/30805257/,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
5,31179128,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f0/5a/34/146276385.jpg,APA_11 (2),21,6,355000.0,flat,sale,126.5,False,2,2,Rua Pascoal de Melo,Lisboa,Arroios,São Jorge de Arroios,pt,38.7306104,-9.1389123,False,840,False,good,False,True,,2806.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso en Rua Pascoal de Melo'}",True,False,False,False,False,Estefânia,https://www.idealista.pt/imovel/31179128/,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
6,31179457,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a2/42/38/146285373.jpg,EL2021191,32,2,1250000.0,flat,sale,293.0,False,7,3,Areeiro,Lisboa,Areeiro,,pt,38.7390244,-9.141062,False,667,True,good,False,True,,4266.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso'}",False,False,False,False,False,,https://www.idealista.pt/imovel/31179457/,
7,31173023,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c7/33/97/146095377.jpg,PM5853,18,1,249000.0,flat,sale,43.0,False,1,1,Bairro dos Actores - Barão Sabrosa,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,38.7360573,-9.1292989,False,405,True,good,False,True,,5791.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,https://www.idealista.pt/imovel/31173023/,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
8,30931714,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6b/23/3f/144364936.jpg,2270-9,18,2,185000.0,flat,sale,50.0,False,1,1,Bairro dos Actores - Barão Sabrosa,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,38.7358875,-9.1280985,False,510,False,good,False,False,,3700.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso'}",True,False,True,False,False,,https://www.idealista.pt/imovel/30931714/,
9,30637658,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f5/d3/e4/144346357.jpg,1204-1261,11,,1350000.0,flat,sale,155.0,False,3,1,Campo Pequeno - Nossa Senhora de Fátima,Lisboa,Avenidas Novas,Campo Pequeno - Nossa Senhora de Fátima,pt,38.7352562,-9.1428298,False,807,False,good,False,True,,8710.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso'}",True,False,False,False,False,,https://www.idealista.pt/imovel/30637658/,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
