,propertyCode,price,operation,size,rooms,bathrooms,latitude,longitude,priceByArea,propertyType,floorNumeric
1,31047987,750000.0,sale,165.0,3,3,38.748643,-9.151992100000001,4545.0,flat,1.0
2,31077468,235000.0,sale,78.0,2,1,38.74913239999999,-9.1045237,3013.0,flat,5.0
3,30846900,209000.0,sale,38.0,1,1,38.71139829999999,-9.128862699999999,5500.0,flat,3.0
5,30801717,550000.0,sale,128.0,3,2,38.728654799999994,-9.1409976,4297.0,flat,2.0
7,31145636,455000.0,sale,81.0,2,2,38.741566,-9.144531800000001,5617.0,flat,4.0
8,30643548,270000.0,sale,60.0,2,1,38.7297482,-9.1096337,4500.0,flat,3.0
9,31072254,895000.0,sale,151.0,2,2,38.7123553,-9.1489895,5927.0,flat,0.0
10,30716714,1800000.0,sale,213.0,3,2,38.716421200000006,-9.1510602,8451.0,flat,1.0
12,31139147,895000.0,sale,162.0,2,2,38.711504600000005,-9.1410261,5525.0,flat,2.0
13,30969216,420000.0,sale,114.0,2,2,38.7651683,-9.153596499999999,3684.0,flat,12.0
15,31104127,249000.0,sale,95.0,1,2,38.7350482,-9.128707,2621.0,flat,1.0
16,31138544,980000.0,sale,123.0,3,2,38.7078251,-9.157305699999998,7967.0,flat,2.0
17,30956613,785000.0,sale,194.0,4,3,38.7339774,-9.144582699999999,4046.0,flat,1.0
18,29373402,730000.0,sale,160.0,3,3,38.715363200000006,-9.158455199999999,4563.0,flat,0.0
21,29982859,350000.0,sale,45.0,0,1,38.73642,-9.1443651,7778.0,studio,2.0
22,31126565,440000.0,sale,75.0,2,1,38.717996,-9.1381537,5867.0,flat,4.0
23,30345474,585000.0,sale,80.0,2,1,38.71114179999999,-9.1482148,7313.0,flat,5.0
24,31150699,940000.0,sale,197.0,4,3,38.723516499999995,-9.1605101,4772.0,flat,3.0
25,30843044,380000.0,sale,85.0,3,1,38.7277725,-9.1643492,4471.0,flat,0.0
26,30634105,650000.0,sale,85.0,1,2,38.70822020000001,-9.152487400000002,7647.0,flat,5.0
27,31135774,375000.0,sale,103.5,1,2,38.7420816,-9.1511455,3623.0,flat,0.0
28,31106516,770000.0,sale,180.0,4,3,38.713299299999996,-9.1563748,4278.0,flat,3.0
